index,Data of Transaction,Description,Amt,Acc Balance after opp,Main_Category,Sub_Category
24,2025-12-05,ZAKUP PRZY UŻYCIU KARTY SHELL 11 /Wroclaw DATA TRANSAKCJI: 2025-12-04,123.91,"798,10",Transport,Fuel
25,2025-12-05,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY ZABKA ZB212 K.2,0.11,"797,99",Smart saver,Smart saver
26,2025-12-05,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY SHELL 11,1.24,"796,75",Smart saver,Smart saver
28,2025-12-06,PRZELEW WEWNĘTRZNY WYCHODZĄCY MATEUSZ MICHAŁEK  SPOTI,9.5,"987,25",Subcription,SPOTIFY
30,2025-12-06,ZAKUP PRZY UŻYCIU KARTY SHELL 01 /Jaworzno DATA TRANSAKCJI: 2025-12-05,71.02,"2 416,23",Transport,Fuel
31,2025-12-08,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY SHELL 01,0.71,"2 415,52",Smart saver,Smart saver
32,2025-12-07,ZAKUP PRZY UŻYCIU KARTY CARREFOUR /KRAKOW DATA TRANSAKCJI: 2025-12-06,2.19,"2 413,33",Daily Purchase,CARREFOUR
33,2025-12-07,ZAKUP PRZY UŻYCIU KARTY STOLOWKA STUDENCKA /KRAKOW DATA TRANSAKCJI: 2025-12-06,23.0,"2 390,33",Eating out,Restauramt
34,2025-12-07,ZAKUP PRZY UŻYCIU KARTY BK KRAKOW PKP /KRAKOW DATA TRANSAKCJI: 2025-12-06,18.24,"2 372,09",Transport,Trains and Buses
35,2025-12-07,ZAKUP PRZY UŻYCIU KARTY AUTOMAT Z KAWA /KRAKOW DATA TRANSAKCJI: 2025-12-06,10.9,"2 361,19",Eating out,KAWA
36,2025-12-07,ZAKUP PRZY UŻYCIU KARTY FUNDACJA DONATEO /WROCLAW DATA TRANSAKCJI: 2025-12-06,1.0,"2 360,19",Others,Unclasifided
37,2025-12-08,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY STOLOWKA STUDENCKA,0.23,"2 359,96",Smart saver,Smart saver
38,2025-12-08,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY BK KRAKOW PKP,0.18,"2 359,78",Smart saver,Smart saver
39,2025-12-08,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY AUTOMAT Z KAWA,0.11,"2 359,67",Smart saver,Smart saver
40,2025-12-08,PRZELEW MTRANSFER WYCHODZACY BLUE MEDIA SPÓŁKA AKCYJNA . UL.POWSTAŃCÓW WARSZAWY 6 81-718 SOPOT POLSKA  ORANGE4  ID=,30.0,"2 329,67",Fixed Costs,Telephone
41,2025-12-08,PRZELEW NA TWOJE CELE PRZELEW Z RACHUNKU ORANGE4  ID=,0.3,"2 329,37",Smart saver,Smart saver
42,2025-12-08,PRZELEW MTRANSFER WYCHODZACY BLUE MEDIA SPÓŁKA AKCYJNA . UL.POWSTAŃCÓW WARSZAWY 6 81-718 SOPOT POLSKA  ORANGE4  ID=,5.0,"2 324,37",Fixed Costs,Telephone
44,2025-12-08,ZAKUP PRZY UŻYCIU KARTY MCDONALDS 262 KRAKO/KRAKOW DATA TRANSAKCJI: 2025-12-06,7.5,"2 416,87",Eating out,MCDONALDS
45,2025-12-08,ZAKUP PRZY UŻYCIU KARTY Park Wodny Basen 1 /Krakow DATA TRANSAKCJI: 2025-12-07,12.0,"2 404,87",Sport,Basen
46,2025-12-08,ZAKUP PRZY UŻYCIU KARTY ALI BABA KEBAB 06 /KRAKOW DATA TRANSAKCJI: 2025-12-07,13.0,"2 391,87",Eating out,KEBAB
47,2025-12-08,ZAKUP PRZY UŻYCIU KARTY PL KFC KRAKOW MODLN/MODLNICA DATA TRANSAKCJI: 2025-12-07,20.0,"2 371,87",Eating out,KFC
48,2025-12-08,ZAKUP PRZY UŻYCIU KARTY MCDONALDS 262 KRAKO/KRAKOW DATA TRANSAKCJI: 2025-12-07,7.5,"2 364,37",Eating out,MCDONALDS
49,2025-12-08,ZAKUP PRZY UŻYCIU KARTY MCDONALDS 200 KRAKO/KRAKOW DATA TRANSAKCJI: 2025-12-07,7.5,"2 356,87",Eating out,MCDONALDS
50,2025-12-08,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY Park Wodny Basen 1,0.12,"2 356,75",Smart saver,Smart saver
51,2025-12-08,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY ALI BABA KEBAB 06,0.13,"2 356,62",Smart saver,Smart saver
52,2025-12-08,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY PL KFC KRAKOW MODLNICA,0.2,"2 356,42",Smart saver,Smart saver
54,2025-12-09,BLIK P2P-WYCHODZĄCY PRZELEW ŚRODKÓW,58.0,"2 334,42",Online outcomes,BLIK
55,2025-12-09,BLIK P2P-WYCHODZĄCY PRZELEW ŚRODKÓW,24.0,"2 310,42",Online outcomes,BLIK
57,2025-12-09,ZAKUP PRZY UŻYCIU KARTY POLONUS /NIEPOLOMIC DATA TRANSAKCJI: 2025-12-08,5.99,"2 318,43",Others,Unclasifided
58,2025-12-09,ZAKUP PRZY UŻYCIU KARTY MCDONALDS 480 KRAKO/KRAKOW DATA TRANSAKCJI: 2025-12-08,74.2,"2 244,23",Eating out,MCDONALDS
59,2025-12-09,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY MCDONALDS 480 KRAKOW 01,0.74,"2 243,49",Smart saver,Smart saver
60,2025-12-10,BLIK ZAKUP E-COMMERCE SYSTEM.MYBENEFIT.PL,2.0,"2 241,49",Others,Unclasifided
61,2025-12-10,ZAKUP PRZY UŻYCIU KARTY BP-PUSZCZA 918 TAAS/NIEPOLOMIC DATA TRANSAKCJI: 2025-12-08,193.91,"2 047,58",Transport,Fuel
62,2025-12-10,ZAKUP PRZY UŻYCIU KARTY McDonalds 61600480 /Krakow DATA TRANSAKCJI: 2025-12-08,50.5,"1 997,08",Eating out,MCDONALDS
63,2025-12-10,ZAKUP PRZY UŻYCIU KARTY KEBAB RESTAURANT /WROCLAW DATA TRANSAKCJI: 2025-12-09,32.4,"1 964,68",Eating out,KEBAB
64,2025-12-10,ZAKUP PRZY UŻYCIU KARTY NJU Mobile /warszawa DATA TRANSAKCJI: 2025-12-09,49.0,"1 915,68",Fixed Costs,Internet
65,2025-12-10,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY BP-PUSZCZA 918 TAAS,1.94,"1 913,74",Smart saver,Smart saver
66,2025-12-10,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY McDonalds 61600480,0.51,"1 913,23",Smart saver,Smart saver
67,2025-12-10,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY KEBAB RESTAURANT,0.32,"1 912,91",Smart saver,Smart saver
68,2025-12-10,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY NJU Mobile,0.49,"1 912,42",Smart saver,Smart saver
71,2025-12-11,ZAKUP PRZY UŻYCIU KARTY ASVENDING /Wroclaw DATA TRANSAKCJI: 2025-12-10,4.0,"7 948,42",Eating out,AUTOMAT
72,2025-12-11,ZAKUP PRZY UŻYCIU KARTY MROWKA SULEJOW /SULEJOW DATA TRANSAKCJI: 2025-12-10,17.99,"7 930,43",Daily Purchase,Mrowka
73,2025-12-11,ZAKUP PRZY UŻYCIU KARTY PIEKARNIA HERT WROC/WROCLAW DATA TRANSAKCJI: 2025-12-10,8.1,"7 922,33",Daily Purchase,Piekarnia
74,2025-12-11,ZAKUP PRZY UŻYCIU KARTY A401 Wroclaw /Wroclaw DATA TRANSAKCJI: 2025-12-10,25.61,"7 896,72",Others,Unclasifided
75,2025-12-11,ZAKUP PRZY UŻYCIU KARTY A401 Wroclaw /Wroclaw DATA TRANSAKCJI: 2025-12-10,28.73,"7 867,99",Others,Unclasifided
76,2025-12-11,ZAKUP PRZY UŻYCIU KARTY JMP S.A. BIEDRONKA /WROCLAW DATA TRANSAKCJI: 2025-12-10,39.1,"7 828,89",Daily Purchase,Biednronka
77,2025-12-11,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY MROWKA SULEJOW,0.18,"7 828,71",Smart saver,Smart saver
78,2025-12-11,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY A401 Wroclaw,0.26,"7 828,45",Smart saver,Smart saver
79,2025-12-11,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY A401 Wroclaw,0.29,"7 828,16",Smart saver,Smart saver
80,2025-12-11,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY JMP S.A. BIEDRONKA 2655,0.39,"7 827,77",Smart saver,Smart saver
81,2025-12-12,PRZELEW ZEWNĘTRZNY WYCHODZĄCY MARIA SOBIERAJ  GRZECHU STAŃCZYK DISNAY+,6.3,"7 821,47",Subcription,DISNEY
82,2025-12-12,BLIK ZAKUP E-COMMERCE WWW.SINSAY.COM,39.99,"7 781,48",Cloaths,Casual
83,2025-12-12,PRZELEW NA TWOJE CELE TRANSAKCJA BLIK WWW.SINSAY.COM,0.4,"7 781,08",Smart saver,Smart saver
84,2025-12-12,BLIK ZAKUP E-COMMERCE ION8.COM.PL,89.99,"7 691,09",Others,Unclasifided
85,2025-12-12,PRZELEW NA TWOJE CELE TRANSAKCJA BLIK ION8.COM.PL,0.9,"7 690,19",Smart saver,Smart saver
86,2025-12-12,ZAKUP PRZY UŻYCIU KARTY ZABKA ZB212 K.1 /WROCLAW DATA TRANSAKCJI: 2025-12-11,6.99,"7 683,20",Daily Purchase,Zabka
87,2025-12-12,ZAKUP PRZY UŻYCIU KARTY ASVENDING /Wroclaw DATA TRANSAKCJI: 2025-12-11,4.0,"7 679,20",Eating out,AUTOMAT
88,2025-12-13,ZAKUP PRZY UŻYCIU KARTY ORLEN STACJA NR 532/WROCLAW DATA TRANSAKCJI: 2025-12-12,134.67,"7 544,53",Transport,Fuel
89,2025-12-13,ZAKUP PRZY UŻYCIU KARTY SHELL /Niemodlin DATA TRANSAKCJI: 2025-12-12,6.49,"7 538,04",Transport,Fuel
90,2025-12-15,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY ORLEN STACJA NR 532,1.35,"7 536,69",Smart saver,Smart saver
91,2025-12-14,ZAKUP PRZY UŻYCIU KARTY Microsoft*Microsoft/msbill.inf DATA TRANSAKCJI: 2025-12-12,42.99,"7 493,70",Subcription,MICROSOFT
92,2025-12-14,ZAKUP PRZY UŻYCIU KARTY LPP CROPP 1512113 /BIELSKO-BI DATA TRANSAKCJI: 2025-12-13,59.99,"7 433,71",Cloaths,Casual
93,2025-12-14,ZAKUP PRZY UŻYCIU KARTY OTCF BB2 /BIELSKO-BI DATA TRANSAKCJI: 2025-12-13,19.99,"7 413,72",Others,Unclasifided
94,2025-12-15,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY Microsoft*Microsoft 365 P,0.43,"7 413,29",Smart saver,Smart saver
95,2025-12-15,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY LPP CROPP 1512113,0.6,"7 412,69",Smart saver,Smart saver
96,2025-12-15,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY OTCF BB2,0.2,"7 412,49",Smart saver,Smart saver
99,2025-12-15,ZAKUP PRZY UŻYCIU KARTY BILETY URBANCARD WR/WROCLAW DATA TRANSAKCJI: 2025-12-12,1.6,"13 410,89",Transport,Trains and Buses
100,2025-12-15,ZAKUP PRZY UŻYCIU KARTY MEDIA STARS MARIUSZ/Bielsko-Bi DATA TRANSAKCJI: 2025-12-13,42.0,"13 368,89",Others,Unclasifided
101,2025-12-15,ZAKUP PRZY UŻYCIU KARTY Stacja MOYA nr 444 /Bielsko-Bi DATA TRANSAKCJI: 2025-12-14,130.68,"13 238,21",Transport,Fuel
102,2025-12-15,ZAKUP PRZY UŻYCIU KARTY McDonalds 292 MOP K/Kozlow DATA TRANSAKCJI: 2025-12-14,77.2,"13 161,01",Eating out,MCDONALDS
103,2025-12-15,ZAKUP PRZY UŻYCIU KARTY JULA POLAND SP. Z O/Bielsko-Bi DATA TRANSAKCJI: 2025-12-14,59.95,"13 101,06",Daily Purchase,Other Stores
104,2025-12-15,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY MEDIA STARS MARIUSZ NY,0.42,"13 100,64",Smart saver,Smart saver
105,2025-12-15,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY Stacja MOYA nr 444,1.31,"13 099,33",Smart saver,Smart saver
106,2025-12-15,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY McDonalds 292 MOP Kozlo,0.77,"13 098,56",Smart saver,Smart saver
107,2025-12-15,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY JULA POLAND SP. Z O.O. 71,0.6,"13 097,96",Smart saver,Smart saver
108,2025-12-17,PRZELEW ZEWNĘTRZNY WYCHODZĄCY XTB SPOLKA AKCYJNA  52253212,12000.0,"1 097,96",Investing,XTB
109,2025-12-17,PRZELEW NA TWOJE CELE PRZELEW Z RACHUNKU 52253212,120.0,"977,96",Smart saver,Smart saver
110,2025-12-18,ZAKUP PRZY UŻYCIU KARTY ALDI SP. Z O.O. 01 /WROCLAW DATA TRANSAKCJI: 2025-12-16,13.37,"964,59",Daily Purchase,Aldi
111,2025-12-18,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY ALDI SP. Z O.O. 01,0.13,"964,46",Smart saver,Smart saver
112,2025-12-19,BLIK P2P-WYCHODZĄCY SWETRY I PEDZLE,110.0,"854,46",Online outcomes,BLIK
114,2025-12-19,BLIK P2P-WYCHODZĄCY PRZELEW ŚRODKÓW,25.0,"1 216,46",Online outcomes,BLIK
115,2025-12-19,ZAKUP PRZY UŻYCIU KARTY ALDI SP. Z O.O. 01 /WROCLAW DATA TRANSAKCJI: 2025-12-17,31.98,"1 184,48",Daily Purchase,Aldi
116,2025-12-19,ZAKUP PRZY UŻYCIU KARTY PL KFC GORA SW ANNY/GORA SW AN DATA TRANSAKCJI: 2025-12-18,29.48,"1 155,00",Eating out,KFC
117,2025-12-19,ZAKUP PRZY UŻYCIU KARTY ORLEN STACJA NR 532/WROCLAW DATA TRANSAKCJI: 2025-12-18,94.39,"1 060,61",Transport,Fuel
118,2025-12-19,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY ALDI SP. Z O.O. 01,0.32,"1 060,29",Smart saver,Smart saver
119,2025-12-19,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY PL KFC GORA SW ANNY,0.29,"1 060,00",Smart saver,Smart saver
120,2025-12-19,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY ORLEN STACJA NR 532,0.94,"1 059,06",Smart saver,Smart saver
122,2025-12-20,ZAKUP PRZY UŻYCIU KARTY PEPCO 110224 NIEPOL/NIEPOLOMIC DATA TRANSAKCJI: 2025-12-19,50.0,"1 019,06",Cloaths,Casual
123,2025-12-20,ZAKUP PRZY UŻYCIU KARTY MARKET PSB MROWKA /NIEPOLOMIC DATA TRANSAKCJI: 2025-12-19,432.6,"586,46",Daily Purchase,Mrowka
124,2025-12-20,ZAKUP PRZY UŻYCIU KARTY BIUROMIX /NIEPOLOMIC DATA TRANSAKCJI: 2025-12-19,18.0,"568,46",Daily Purchase,Artykuly Biurowe
125,2025-12-20,ZAKUP PRZY UŻYCIU KARTY JMP S.A. BIEDRONKA /NIEPOLOMIC DATA TRANSAKCJI: 2025-12-19,110.23,"458,23",Daily Purchase,Biednronka
126,2025-12-22,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY PEPCO 110224 NIEPOLOMICE,0.5,"457,73",Smart saver,Smart saver
127,2025-12-22,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY MARKET PSB MROWKA,4.33,"453,40",Smart saver,Smart saver
128,2025-12-22,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY BIUROMIX,0.18,"453,22",Smart saver,Smart saver
129,2025-12-22,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY JMP S.A. BIEDRONKA 4505,1.1,"452,12",Smart saver,Smart saver
130,2025-12-21,ZAKUP PRZY UŻYCIU KARTY FREEDOM KEBAB /KRAKOW DATA TRANSAKCJI: 2025-12-20,15.3,"436,82",Eating out,KEBAB
131,2025-12-21,ZAKUP PRZY UŻYCIU KARTY KSIEGARNIA SWIAT KS/KRAKOW DATA TRANSAKCJI: 2025-12-20,31.99,"404,83",Daily Purchase,Artykuly Biurowe
132,2025-12-21,ZAKUP PRZY UŻYCIU KARTY GOBEST AUTOMATY /USTRON DATA TRANSAKCJI: 2025-12-20,4.0,"400,83",Eating out,AUTOMAT
133,2025-12-21,ZAKUP PRZY UŻYCIU KARTY MCDONALDS 262 KRAKO/KRAKOW DATA TRANSAKCJI: 2025-12-20,7.5,"393,33",Eating out,MCDONALDS
134,2025-12-21,ZAKUP PRZY UŻYCIU KARTY JMP S.A. BIEDRONKA /NIEPOLOMIC DATA TRANSAKCJI: 2025-12-20,28.91,"364,42",Daily Purchase,Biednronka
135,2025-12-21,ZAKUP PRZY UŻYCIU KARTY KOLEO bilety kolejo/Warszawa DATA TRANSAKCJI: 2025-12-20,20.0,"344,42",Transport,Trains and Buses
136,2025-12-22,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY FREEDOM KEBAB,0.15,"344,27",Smart saver,Smart saver
137,2025-12-22,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY KSIEGARNIA SWIAT KSIAZ,0.32,"343,95",Smart saver,Smart saver
138,2025-12-22,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY JMP S.A. BIEDRONKA 4505,0.29,"343,66",Smart saver,Smart saver
139,2025-12-22,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY KOLEO bilety kolejowe,0.2,"343,46",Smart saver,Smart saver
141,2025-12-22,PRZELEW WEWNĘTRZNY PRZYCHODZĄCY GRZEGORZ STAŃCZYK UL.MŁYŃSKA 7A 32-005 NIEPOŁOMICE  PRZELEW ŚRODKÓW,800.0,"1 243,46",Inter-acc movements,Internal Moves
143,2025-12-22,BLIK ZAKUP E-COMMERCE EBILET.PL,1074.5,"176,96",Entertaiment,Events
144,2025-12-22,PRZELEW NA TWOJE CELE TRANSAKCJA BLIK EBILET.PL,2.92,"174,04",Smart saver,Smart saver
147,2025-12-22,ZAKUP PRZY UŻYCIU KARTY AUTOMAT Z KAWA /KRAKOW DATA TRANSAKCJI: 2025-12-21,8.9,"4 795,61",Eating out,KAWA
148,2025-12-22,ZAKUP PRZY UŻYCIU KARTY HYPEROIL /KRAKOW DATA TRANSAKCJI: 2025-12-21,150.15,"4 645,46",Transport,Fuel
149,2025-12-22,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY HYPEROIL,1.5,"4 643,96",Smart saver,Smart saver
151,2025-12-23,PRZELEW ZEWNĘTRZNY WYCHODZĄCY TOMASZ SZCZYGIEŁ  MIESZKANIE STYCZEŃ,3600.0,"1 123,96",Fixed Costs,Rent
152,2025-12-23,PRZELEW NA TWOJE CELE PRZELEW Z RACHUNKU MIESZKANIE STYCZEŃ,36.0,"1 087,96",Smart saver,Smart saver
153,2025-12-23,"PRZELEW ZEWNĘTRZNY WYCHODZĄCY BANK MILLENNIUM S.A., UL. S. ZARYNA 2A, 02-593 WARSZAWA  SPLATA 18/36 RATY KREDYTU RATALNEGO NR 240723ABET",110.65,"977,31",Fixed Costs,Debt pay
154,2025-12-23,PRZELEW NA TWOJE CELE PRZELEW Z RACHUNKU SPLATA 18/36 RATY KREDYTU RATALNEGO,1.11,"976,20",Smart saver,Smart saver
157,2025-12-23,BLIK ZAKUP E-COMMERCE AIRBNB.COM,1101.75,"274,45",Travels,Apartaments
158,2025-12-23,PRZELEW NA TWOJE CELE TRANSAKCJA BLIK AIRBNB.COM,11.02,"263,43",Smart saver,Smart saver
159,2025-12-23,PRZELEW WEWNĘTRZNY PRZYCHODZĄCY GRZEGORZ STAŃCZYK UL.MŁYŃSKA 7A 32-005 NIEPOŁOMICE  PRZELEW ŚRODKÓW,1000.0,"1 263,43",Inter-acc movements,Internal Moves
161,2025-12-23,ZAKUP PRZY UŻYCIU KARTY LIDL /NIEPOLOMIC DATA TRANSAKCJI: 2025-12-22,154.05,"1 294,38",Daily Purchase,Lidl
162,2025-12-23,ZAKUP PRZY UŻYCIU KARTY MCDONALDS /WIELICZKA DATA TRANSAKCJI: 2025-12-22,36.8,"1 257,58",Eating out,MCDONALDS
163,2025-12-23,ZAKUP PRZY UŻYCIU KARTY JMP S.A. BIEDRONKA /NIEPOLOMIC DATA TRANSAKCJI: 2025-12-22,27.48,"1 230,10",Daily Purchase,Biednronka
164,2025-12-23,ZAKUP PRZY UŻYCIU KARTY APPLE.COM/BILL /APPLE.COM/ DATA TRANSAKCJI: 2025-12-22,14.99,"1 215,11",Subcription,APPLE
165,2025-12-23,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY LIDL,1.54,"1 213,57",Smart saver,Smart saver
166,2025-12-23,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY MCDONALDS,0.37,"1 213,20",Smart saver,Smart saver
167,2025-12-23,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY JMP S.A. BIEDRONKA 4505,0.27,"1 212,93",Smart saver,Smart saver
168,2025-12-23,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY APPLE.COM/BILL,0.15,"1 212,78",Smart saver,Smart saver
170,2025-12-24,ZAKUP PRZY UŻYCIU KARTY LIDL /NIEPOLOMIC DATA TRANSAKCJI: 2025-12-23,155.35,"1 157,43",Daily Purchase,Lidl
171,2025-12-29,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY LIDL,1.55,"1 155,88",Smart saver,Smart saver
175,2025-12-27,PRZELEW WEWNĘTRZNY PRZYCHODZĄCY GRZEGORZ STAŃCZYK UL.MŁYŃSKA 7A 32-005 NIEPOŁOMICE  PRZELEW ŚRODKÓW,200.0,"1 904,88",Inter-acc movements,Internal Moves
177,2025-12-28,ZAKUP PRZY UŻYCIU KARTY Revolut**6943* /Dublin DATA TRANSAKCJI: 2025-12-26,800.0,"1 160,88",Inter-acc movements,Internal Moves
178,2025-12-28,ZAKUP PRZY UŻYCIU KARTY DECATHLON KRAKOW ZA/KRAKOW DATA TRANSAKCJI: 2025-12-27,339.94,"820,94",Cloaths,Outdor
179,2025-12-29,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY Revolut**6943*,8.0,"812,94",Inter-acc movements,Internal Moves
180,2025-12-29,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY DECATHLON KRAKOW ZAK 01,3.4,"809,54",Smart saver,Smart saver
181,2025-12-29,ZAKUP PRZY UŻYCIU KARTY BP-PUSZCZA 918 TAAS/NIEPOLOMIC DATA TRANSAKCJI: 2025-12-27,158.75,"650,79",Transport,Fuel
182,2025-12-29,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY BP-PUSZCZA 918 TAAS,1.59,"649,20",Smart saver,Smart saver
