Data of Transaction,Description,Amt,Main_Category,Sub_Category
2026-04-28,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,46.8,Daily Purchase,Biednronka
2026-04-02,ZAKUP PRZY UŻYCIU KARTY SHELL,92.4,Transport,Fuel
2026-04-06,ZAKUP PRZY UŻYCIU KARTY ZABKA,10.2,Daily Purchase,Zabka
2026-04-10,ZAKUP PRZY UŻYCIU KARTY LIDL,98.5,Daily Purchase,Lidl
2026-04-13,ZAKUP PRZY UŻYCIU KARTY ORLEN,125.6,Transport,Fuel
2026-04-17,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,23.5,Eating out,MCDONALDS
2026-04-20,ZAKUP PRZY UŻYCIU KARTY SINSAY,45.0,Cloaths,Casual
2026-04-24,ZAKUP PRZY UŻYCIU KARTY UBER,24.5,Transport,Taxi
2026-04-27,ZAKUP PRZY UŻYCIU KARTY SHELL,102.5,Transport,Fuel
2026-04-05,ZAKUP PRZY UŻYCIU KARTY COSTA COFFEE,16.2,Eating out,KAWA
2026-04-09,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,68.4,Daily Purchase,Biednronka
2026-04-16,ZAKUP PRZY UŻYCIU KARTY PIZZA HUT,62.0,Eating out,Pizza
2026-04-23,ZAKUP PRZY UŻYCIU KARTY ZABKA,15.2,Daily Purchase,Zabka
2026-04-29,ZAKUP PRZY UŻYCIU KARTY ORLEN,148.5,Transport,Fuel
2026-03-02,PRZELEW ZEWNĘTRZNY WYCHODZĄCY MIESZKANIE MARZEC,3600.0,Fixed Costs,Rent
2026-03-02,PRZELEW NA TWOJE CELE PRZELEW Z RACHUNKU MIESZKANIE MARZEC,36.0,Smart saver,Smart saver
2026-03-02,ZAKUP PRZY UŻYCIU KARTY ZABKA,12.8,Daily Purchase,Zabka
2026-03-03,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,55.6,Daily Purchase,Biednronka
2026-03-03,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,0.55,Smart saver,Smart saver
2026-03-04,ZAKUP PRZY UŻYCIU KARTY ORLEN STACJA,138.9,Transport,Fuel
2026-03-04,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,26.4,Eating out,MCDONALDS
2026-03-05,PRZELEW ZEWNĘTRZNY WYCHODZĄCY SPLATA RATY KREDYTU,110.65,Fixed Costs,Debt pay
2026-03-05,PRZELEW NA TWOJE CELE SPLATA RATY KREDYTU,1.11,Smart saver,Smart saver
2026-03-05,ZAKUP PRZY UŻYCIU KARTY LIDL,89.2,Daily Purchase,Lidl
2026-03-06,ZAKUP PRZY UŻYCIU KARTY PIEKARNIA HERT,10.5,Daily Purchase,Piekarnia
2026-03-06,ZAKUP PRZY UŻYCIU KARTY UBER,21.0,Transport,Taxi
2026-03-07,ZAKUP PRZY UŻYCIU KARTY SHELL,92.5,Transport,Fuel
2026-03-07,ZAKUP PRZY UŻYCIU KARTY KINO HELIOS,48.0,Entertaiment,Cinema
2026-03-08,PRZELEW MTRANSFER WYCHODZACY ORANGE4 ID=,30.0,Fixed Costs,Telephone
2026-03-08,ZAKUP PRZY UŻYCIU KARTY ZABKA,15.4,Daily Purchase,Zabka
2026-03-09,ZAKUP PRZY UŻYCIU KARTY KFC,32.1,Eating out,KFC
2026-03-10,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,105.8,Daily Purchase,Biednronka
2026-03-11,ZAKUP PRZY UŻYCIU KARTY SPOTIFY,19.99,Subcription,SPOTIFY
2026-03-11,ZAKUP PRZY UŻYCIU KARTY AUTOMAT Z KAWA,4.8,Eating out,KAWA
2026-03-12,ZAKUP PRZY UŻYCIU KARTY ROSSMANN,52.4,Daily Purchase,Rossmann
2026-03-12,ZAKUP PRZY UŻYCIU KARTY APTEKA,28.9,Daily Purchase,Pharmacy
2026-03-13,ZAKUP PRZY UŻYCIU KARTY STOLOWKA,22.0,Eating out,Restauramt
2026-03-13,ZAKUP PRZY UŻYCIU KARTY ORLEN,152.3,Transport,Fuel
2026-03-14,ZAKUP PRZY UŻYCIU KARTY RESTAURACJA,115.0,Eating out,Restauramt
2026-03-14,ZAKUP PRZY UŻYCIU KARTY BOLT,19.5,Transport,Taxi
2026-03-15,ZAKUP PRZY UŻYCIU KARTY ZABKA,18.2,Daily Purchase,Zabka
2026-03-15,ZAKUP PRZY UŻYCIU KARTY LIDL,75.6,Daily Purchase,Lidl
2026-03-16,ZAKUP PRZY UŻYCIU KARTY SHELL,88.4,Transport,Fuel
2026-03-16,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY SHELL,0.88,Smart saver,Smart saver
2026-03-17,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,38.9,Daily Purchase,Biednronka
2026-03-17,ZAKUP PRZY UŻYCIU KARTY PIEKARNIA,6.5,Daily Purchase,Piekarnia
2026-03-18,ZAKUP PRZY UŻYCIU KARTY KEBAB,16.2,Eating out,KEBAB
2026-03-18,ZAKUP PRZY UŻYCIU KARTY ZABKA,11.9,Daily Purchase,Zabka
2026-03-19,ZAKUP PRZY UŻYCIU KARTY MEDIA MARKT,180.0,Technology,MEDIA MARKT
2026-03-19,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,23.8,Eating out,MCDONALDS
2026-03-20,ZAKUP PRZY UŻYCIU KARTY ORLEN,125.6,Transport,Fuel
2026-03-20,ZAKUP PRZY UŻYCIU KARTY PEPCO,45.2,Cloaths,Casual
2026-03-21,ZAKUP PRZY UŻYCIU KARTY LIDL,95.4,Daily Purchase,Lidl
2026-03-21,ZAKUP PRZY UŻYCIU KARTY ZABKA,14.8,Daily Purchase,Zabka
2026-03-22,ZAKUP PRZY UŻYCIU KARTY PKP INTERCITY,55.0,Transport,Trains and Buses
2026-03-22,ZAKUP PRZY UŻYCIU KARTY AUTOMAT,4.0,Eating out,AUTOMAT
2026-03-23,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,68.2,Daily Purchase,Biednronka
2026-03-23,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,0.68,Smart saver,Smart saver
2026-03-24,ZAKUP PRZY UŻYCIU KARTY KFC,29.5,Eating out,KFC
2026-03-24,ZAKUP PRZY UŻYCIU KARTY UBER EATS,38.4,Eating out,Delivery
2026-03-25,ZAKUP PRZY UŻYCIU KARTY SHELL,105.2,Transport,Fuel
2026-03-25,ZAKUP PRZY UŻYCIU KARTY ZABKA,15.6,Daily Purchase,Zabka
2026-03-26,ZAKUP PRZY UŻYCIU KARTY LIDL,82.1,Daily Purchase,Lidl
2026-03-26,ZAKUP PRZY UŻYCIU KARTY HEBE,42.5,Daily Purchase,Hebe
2026-03-27,ZAKUP PRZY UŻYCIU KARTY ZARA,110.0,Cloaths,Casual
2026-03-27,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,28.2,Eating out,MCDONALDS
2026-03-28,ZAKUP PRZY UŻYCIU KARTY ORLEN,142.8,Transport,Fuel
2026-03-28,ZAKUP PRZY UŻYCIU KARTY NETFLIX,43.0,Subcription,NETFLIX
2026-03-29,ZAKUP PRZY UŻYCIU KARTY ZABKA,13.2,Daily Purchase,Zabka
2026-03-29,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,49.5,Daily Purchase,Biednronka
2026-03-30,ZAKUP PRZY UŻYCIU KARTY SHELL,75.4,Transport,Fuel
2026-03-30,ZAKUP PRZY UŻYCIU KARTY PIZZA HUT,65.0,Eating out,Pizza
2026-03-31,ZAKUP PRZY UŻYCIU KARTY LIDL,58.9,Daily Purchase,Lidl
2026-03-04,ZAKUP PRZY UŻYCIU KARTY ZABKA,10.5,Daily Purchase,Zabka
2026-03-07,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,78.4,Daily Purchase,Biednronka
2026-03-11,ZAKUP PRZY UŻYCIU KARTY ORLEN,118.2,Transport,Fuel
2026-03-14,ZAKUP PRZY UŻYCIU KARTY KFC,34.9,Eating out,KFC
2026-03-18,ZAKUP PRZY UŻYCIU KARTY LIDL,66.2,Daily Purchase,Lidl
2026-03-21,ZAKUP PRZY UŻYCIU KARTY SHELL,95.8,Transport,Fuel
2026-03-24,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,22.6,Eating out,MCDONALDS
2026-03-28,ZAKUP PRZY UŻYCIU KARTY ZABKA,14.9,Daily Purchase,Zabka
2026-03-02,ZAKUP PRZY UŻYCIU KARTY PIEKARNIA,8.5,Daily Purchase,Piekarnia
2026-03-06,ZAKUP PRZY UŻYCIU KARTY ROSSMANN,45.6,Daily Purchase,Rossmann
2026-03-09,ZAKUP PRZY UŻYCIU KARTY ORLEN,135.4,Transport,Fuel
2026-03-13,ZAKUP PRZY UŻYCIU KARTY KEBAB,18.5,Eating out,KEBAB
2026-03-16,ZAKUP PRZY UŻYCIU KARTY LIDL,82.4,Daily Purchase,Lidl
2026-03-20,ZAKUP PRZY UŻYCIU KARTY ZABKA,12.1,Daily Purchase,Zabka
2026-03-23,ZAKUP PRZY UŻYCIU KARTY DECATHLON,65.0,Cloaths,Outdor
2026-03-27,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,42.8,Daily Purchase,Biednronka
2026-03-03,ZAKUP PRZY UŻYCIU KARTY SHELL,85.2,Transport,Fuel
2026-03-08,ZAKUP PRZY UŻYCIU KARTY ZABKA,9.9,Daily Purchase,Zabka
2026-03-12,ZAKUP PRZY UŻYCIU KARTY LIDL,102.5,Daily Purchase,Lidl
2026-03-15,ZAKUP PRZY UŻYCIU KARTY ORLEN,122.6,Transport,Fuel
2026-03-19,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,25.1,Eating out,MCDONALDS
2026-03-22,ZAKUP PRZY UŻYCIU KARTY SINSAY,38.5,Cloaths,Casual
2026-03-26,ZAKUP PRZY UŻYCIU KARTY UBER,22.8,Transport,Taxi
2026-03-29,ZAKUP PRZY UŻYCIU KARTY SHELL,98.5,Transport,Fuel
2026-03-05,ZAKUP PRZY UŻYCIU KARTY COSTA COFFEE,14.5,Eating out,KAWA
2026-03-10,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,72.6,Daily Purchase,Biednronka
2026-03-17,ZAKUP PRZY UŻYCIU KARTY PIZZA HUT,55.0,Eating out,Pizza
2026-03-25,ZAKUP PRZY UŻYCIU KARTY ZABKA,16.4,Daily Purchase,Zabka
2026-03-30,ZAKUP PRZY UŻYCIU KARTY ORLEN,145.2,Transport,Fuel
2026-02-02,PRZELEW ZEWNĘTRZNY WYCHODZĄCY TOMASZ SZCZYGIEŁ MIESZKANIE LUTY,3600.0,Fixed Costs,Rent
2026-02-02,PRZELEW NA TWOJE CELE PRZELEW Z RACHUNKU MIESZKANIE LUTY,36.0,Smart saver,Smart saver
2026-02-02,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,62.4,Daily Purchase,Biednronka
2026-02-03,ZAKUP PRZY UŻYCIU KARTY ZABKA,11.5,Daily Purchase,Zabka
2026-02-03,ZAKUP PRZY UŻYCIU KARTY PIEKARNIA HERT,9.2,Daily Purchase,Piekarnia
2026-02-04,ZAKUP PRZY UŻYCIU KARTY ORLEN STACJA,145.8,Transport,Fuel
2026-02-04,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY ORLEN,1.45,Smart saver,Smart saver
2026-02-05,PRZELEW ZEWNĘTRZNY WYCHODZĄCY  SPLATA RATY KREDYTU,110.65,Fixed Costs,Debt pay
2026-02-05,PRZELEW NA TWOJE CELE SPLATA RATY KREDYTU,1.11,Smart saver,Smart saver
2026-02-05,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,31.5,Eating out,MCDONALDS
2026-02-06,ZAKUP PRZY UŻYCIU KARTY LIDL,98.6,Daily Purchase,Lidl
2026-02-07,ZAKUP PRZY UŻYCIU KARTY KINO CINEMA CITY,45.0,Entertaiment,Cinema
2026-02-07,ZAKUP PRZY UŻYCIU KARTY UBER,18.9,Transport,Taxi
2026-02-08,PRZELEW MTRANSFER WYCHODZACY ORANGE4 ID=,30.0,Fixed Costs,Telephone
2026-02-08,ZAKUP PRZY UŻYCIU KARTY SHELL,78.9,Transport,Fuel
2026-02-09,ZAKUP PRZY UŻYCIU KARTY ZABKA,14.2,Daily Purchase,Zabka
2026-02-10,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,115.3,Daily Purchase,Biednronka
2026-02-11,ZAKUP PRZY UŻYCIU KARTY KFC,28.9,Eating out,KFC
2026-02-11,ZAKUP PRZY UŻYCIU KARTY SPOTIFY,19.99,Subcription,SPOTIFY
2026-02-12,ZAKUP PRZY UŻYCIU KARTY APTEKA,42.1,Daily Purchase,Pharmacy
2026-02-12,ZAKUP PRZY UŻYCIU KARTY ROSSMANN,65.4,Daily Purchase,Rossmann
2026-02-13,ZAKUP PRZY UŻYCIU KARTY STOLOWKA,19.5,Eating out,Restauramt
2026-02-13,ZAKUP PRZY UŻYCIU KARTY AUTOMAT Z KAWA,5.0,Eating out,KAWA
2026-02-14,ZAKUP PRZY UŻYCIU KARTY RESTAURACJA WLOSKA,140.0,Eating out,Restauramt
2026-02-14,ZAKUP PRZY UŻYCIU KARTY BOLT,22.4,Transport,Taxi
2026-02-15,ZAKUP PRZY UŻYCIU KARTY ZABKA,19.9,Daily Purchase,Zabka
2026-02-15,ZAKUP PRZY UŻYCIU KARTY ORLEN,156.7,Transport,Fuel
2026-02-16,ZAKUP PRZY UŻYCIU KARTY LIDL,84.5,Daily Purchase,Lidl
2026-02-16,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY LIDL,0.84,Smart saver,Smart saver
2026-02-17,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,41.2,Daily Purchase,Biednronka
2026-02-17,ZAKUP PRZY UŻYCIU KARTY PIEKARNIA,7.8,Daily Purchase,Piekarnia
2026-02-18,ZAKUP PRZY UŻYCIU KARTY KEBAB,17.5,Eating out,KEBAB
2026-02-18,ZAKUP PRZY UŻYCIU KARTY ŻABKA,10.5,Daily Purchase,Zabka
2026-02-19,ZAKUP PRZY UŻYCIU KARTY MEDIA EXPERT,210.0,Technology,MEDIAEXPERT
2026-02-19,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,24.5,Eating out,MCDONALDS
2026-02-20,ZAKUP PRZY UŻYCIU KARTY SHELL,112.4,Transport,Fuel
2026-02-20,ZAKUP PRZY UŻYCIU KARTY DECATHLON,75.0,Cloaths,Outdor
2026-02-21,ZAKUP PRZY UŻYCIU KARTY ZABKA,13.6,Daily Purchase,Zabka
2026-02-21,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,59.9,Daily Purchase,Biednronka
2026-02-22,ZAKUP PRZY UŻYCIU KARTY PKP INTERCITY,62.0,Transport,Trains and Buses
2026-02-22,ZAKUP PRZY UŻYCIU KARTY AUTOMAT,4.2,Eating out,AUTOMAT
2026-02-23,ZAKUP PRZY UŻYCIU KARTY LIDL,105.4,Daily Purchase,Lidl
2026-02-23,PRZELEW NA TWOJE CELE ZAKUP PRZY UŻYCIU KARTY LIDL,1.05,Smart saver,Smart saver
2026-02-24,ZAKUP PRZY UŻYCIU KARTY KFC,35.9,Eating out,KFC
2026-02-24,ZAKUP PRZY UŻYCIU KARTY UBER EATS,42.5,Eating out,Delivery
2026-02-25,ZAKUP PRZY UŻYCIU KARTY ORLEN,134.2,Transport,Fuel
2026-02-25,ZAKUP PRZY UŻYCIU KARTY ZABKA,16.8,Daily Purchase,Zabka
2026-02-26,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,33.4,Daily Purchase,Biednronka
2026-02-26,ZAKUP PRZY UŻYCIU KARTY HEBE,55.2,Daily Purchase,Hebe
2026-02-27,ZAKUP PRZY UŻYCIU KARTY H&M,89.9,Cloaths,Casual
2026-02-27,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,29.9,Eating out,MCDONALDS
2026-02-28,ZAKUP PRZY UŻYCIU KARTY NETFLIX,43.0,Subcription,NETFLIX
2026-02-28,ZAKUP PRZY UŻYCIU KARTY SHELL,92.1,Transport,Fuel
2026-02-05,ZAKUP PRZY UŻYCIU KARTY LIDL,72.5,Daily Purchase,Lidl
2026-02-08,ZAKUP PRZY UŻYCIU KARTY ZABKA,12.9,Daily Purchase,Zabka
2026-02-11,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,95.6,Daily Purchase,Biednronka
2026-02-14,ZAKUP PRZY UŻYCIU KARTY ORLEN,128.4,Transport,Fuel
2026-02-17,ZAKUP PRZY UŻYCIU KARTY KFC,31.2,Eating out,KFC
2026-02-19,ZAKUP PRZY UŻYCIU KARTY EMPIK,45.5,Daily Purchase,Empik
2026-02-21,ZAKUP PRZY UŻYCIU KARTY ZABKA,8.4,Daily Purchase,Zabka
2026-02-23,ZAKUP PRZY UŻYCIU KARTY SHELL,105.8,Transport,Fuel
2026-02-25,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,21.5,Eating out,MCDONALDS
2026-02-27,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,48.9,Daily Purchase,Biednronka
2026-02-02,ZAKUP PRZY UŻYCIU KARTY PIEKARNIA,11.5,Daily Purchase,Piekarnia
2026-02-06,ZAKUP PRZY UŻYCIU KARTY ROSSMANN,38.2,Daily Purchase,Rossmann
2026-02-09,ZAKUP PRZY UŻYCIU KARTY ORLEN,142.1,Transport,Fuel
2026-02-12,ZAKUP PRZY UŻYCIU KARTY KEBAB,16.9,Eating out,KEBAB
2026-02-15,ZAKUP PRZY UŻYCIU KARTY LIDL,66.7,Daily Purchase,Lidl
2026-02-18,ZAKUP PRZY UŻYCIU KARTY ZABKA,15.3,Daily Purchase,Zabka
2026-02-22,ZAKUP PRZY UŻYCIU KARTY PEPCO,29.9,Cloaths,Casual
2026-02-24,ZAKUP PRZY UŻYCIU KARTY UBER,21.5,Transport,Taxi
2026-02-26,ZAKUP PRZY UŻYCIU KARTY SHELL,85.6,Transport,Fuel
2026-02-28,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,52.1,Daily Purchase,Biednronka
2026-02-03,ZAKUP PRZY UŻYCIU KARTY KFC,27.4,Eating out,KFC
2026-02-07,ZAKUP PRZY UŻYCIU KARTY ZABKA,9.8,Daily Purchase,Zabka
2026-02-10,ZAKUP PRZY UŻYCIU KARTY LIDL,110.2,Daily Purchase,Lidl
2026-02-13,ZAKUP PRZY UŻYCIU KARTY ORLEN,119.5,Transport,Fuel
2026-02-16,ZAKUP PRZY UŻYCIU KARTY MCDONALDS,25.9,Eating out,MCDONALDS
2026-02-20,ZAKUP PRZY UŻYCIU KARTY SINSAY,42.0,Cloaths,Casual
2026-02-23,ZAKUP PRZY UŻYCIU KARTY ZABKA,12.6,Daily Purchase,Zabka
2026-02-27,ZAKUP PRZY UŻYCIU KARTY BIEDRONKA,39.8,Daily Purchase,Biednronka
2026-02-04,ZAKUP PRZY UŻYCIU KARTY COSTA COFFEE,15.5,Eating out,KAWA
2026-02-09,ZAKUP PRZY UŻYCIU KARTY SHELL,98.2,Transport,Fuel
2026-02-15,ZAKUP PRZY UŻYCIU KARTY PIZZA HUT,75.0,Eating out,Pizza
2026-02-21,ZAKUP PRZY UŻYCIU KARTY LIDL,55.4,Daily Purchase,Lidl
2026-02-25,ZAKUP PRZY UŻYCIU KARTY ORLEN,132.8,Transport,Fuel
2026-01-02,PRZELEW ZEWNĘTRZNY WYCHODZĄCY  MIESZKANIE STYCZEŃ,3600.0,Fixed Costs,Rent
2026-01-02,PRZELEW NA TWOJE CELE PRZELEW Z RACHUNKU MIESZKANIE STYCZEŃ,36.0,Smart saver,Smart saver
2026-01-02,ZAKUP PRZY UŻYCIU KARTY ZABKA Z7559 K.2 /WROCLAW,14.5,Daily Purchase,Zabka
2026-01-03,ZAKUP PRZY UŻYCIU KARTY JMP S.A. BIEDRONKA /WROCLAW,52.3,Daily Purchase,Biednronka
